Name,Level,Other_Title
Australian aboriginal studies,1,
Australian academic and research libraries,1,
Australian accounting review,1,
Australian and new zealand journal of art,1,
Australian and new zealand journal of arts therapy,1,
Australian and new zealand journal of family therapy,1,
Australian and new zealand journal of psychiatry,1,
Australian and new zealand journal of public health,1,
Australian archaeology,1,
Australian art education,1,
Australian biblical review,1,
Australian critical care: official journal of the confederation of australian critical care nurses,1,
Australian dental journal,1,
Australian economic papers,1,
Australian economic review,1,
Australian educational researcher,1,
Australian endodontic journal,1,
Australian family physician,1,
Australian feminist studies,1,
Australian geographer,1,
Australian historical studies,1,
Australian humanities review,1,
Australian journal of adult learning,1,
Australian journal of advanced nursing,1,
Australian journal of agricultural and resource economics,1,
Australian journal of anthropology,2,
Australian journal of botany,1,
Australian journal of chemistry,1,
Australian journal of communication,1,
Australian journal of crop science,1,
Australasian journal of early childhood,1,
Australian journal of earth sciences,1,
Australian journal of education,1,
Animal production science,1,
Australian journal of family law,1,
Australian journal of french studies,2,
Australian journal of grape and wine research,1,
Australian journal of human rights,1,
Australian journal of international affairs,1,
Australasian journal of irish studies,1,
Australian journal of labour law,1,
Australian journal of language and literacy,1,
Australian journal of linguistics,1,
Australian journal of management,1,
Australian journal of mathematical analysis and applications,1,
Australian journal of music education,1,
Australian journal of music therapy,1,
Australian journal of pharmacy,1,
Australian journal of political science,1,
Australian journal of politics and history,1,
Australian journal of primary health,1,
Australian journal of public administration,1,
Australian journal of rural health,1,
Australian journal of social issues,1,
Soil research,1,
Australian journal of zoology,1,
Australian library journal,1,
Australian literary studies,1,
Australian mathematical society: gazette,1,
Australian mining,1,
Australian occupational therapy journal,1,
Australian prescriber,1,
Journal for the academic study of religion,1,
Australian social work,1,
Australian systematic botany,1,
"Australian tax forum: a journal of taxation policy, law and reform",1,
Australian veterinary journal,1,
Australian veterinary practitioner,1,
Australian yearbook of international law,1,
Austrian history yearbook,2,
Austrian journal of forest science,1,
Austrian studies,1,
Aut aut,1,
Autism,2,
Autism research,1,
Auto/biography studies,1,
Autoimmunity,1,
Autoimmunity reviews,1,
Automated software engineering,2,
Automatic control and computer sciences,1,
Automatica,3,
Automation and remote control,1,
Automation in construction,2,
Autonomic neuroscience: basic and clinical,1,
Autonomous agents and multi-agent systems,2,
Autonomous robots,2,
Autophagy,2,
Avant garde critical studies,1,
Avian biology research,1,
Avian diseases,1,
Avian pathology,1,
Allgemeine vermessungs-nachrichten,1,
Ayer,2,
Azania,1,
B e journal of economic analysis and policy,1,
B e journal of macroeconomics,1,
B e journal of theoretical economics,1,
B.c.a. sicilia,1,
B>quest: a journal of applied topics in business and economics,1,
Babel: revue internationale de la traduction,1,
Babesch: bulletin antieke beschaving,1,
Babylon,1,Babylon : Nordisk tidsskrift for midtøstenstudier
Bach,1,
Bach-jahrbuch,1,
Baessler archiv,1,
Balkan journal of geometry and its applications,1,
Balkan studies,1,
Balkanistica,1,
Ballet review,1,
Baltic forestry,1,
Baltic journal of economics,1,
Baltic journal of management,1,
Baltic linguistics,1,
Baltica,1,
Baltic-pontic studies,1,
Baltische studien,1,
Baltistica,1,
Baltu filologija,1,
Banach center publications,1,
Banach journal of mathematical analysis,1,
Bangladesh journal of botany,1,
Bangladesh journal of plant taxonomy,1,
Bankhistorisches archiv,1,Banking and finance in historical perspective; Zeitschrift zur Bankengeschichte
Banking law journal,1,
Banque des mots,1,
Barnboken,1,
Basic and clinical pharmacology and toxicology,2,
Basic and applied ecology,1,
European journal of translational myology,1,
Basic and applied social psychology,1,
Basic income studies,1,
Basic research in cardiology,2,
Basin research,1,
Bab working papers,1,
Bayesian analysis,2,
Bc studies,1,
Bealoideas,1,
Bebyggelsehistorisk tidskrift,1,
Bedfordshire archaeology,1,
Behavior analyst,1,
Behavior and philosophy,1,
Behavior and social issues,1,
Behavior genetics,1,
Behavior modification,1,
Behavior research methods,2,
Behavior therapy,1,
Behavioral and brain functions,1,
Behavioral and brain sciences,2,
Behavioral and social sciences librarian,1,
Behavioral disorders,1,
Behavioral ecology,3,
Behavioral ecology and sociobiology,2,
Behavioral interventions,1,
Behavioral medicine,1,
Behavioral neuroscience,1,
Behavioral research in accounting,1,
Behavioral sciences and the law,1,
Behavioral sleep medicine,1,
Behaviormetrika,1,
Behaviour,1,
Behaviour and information technology,2,
Behaviour change,1,
Behaviour research and therapy,3,
Behavioural and cognitive psychotherapy,1,
Behavioural brain research,1,
Behavioural neurology,1,
Behavioural pharmacology,1,
Behavioural processes,1,
Beihefte zur zeitschrift für französische sprache und literatur,1,
Beihefte zur zeitschrift für romanische philologie,1,
Beilstein journal of organic chemistry,1,
Beiträge zur algebra und geometrie,1,
Beiträge zur feministischen theorie und praxis,1,
Beiträge zur film- und fernsehenwissenschaft,1,
Beiträge zur geschichte der arbeiterbewegung,Other identified publication channels,
Beiträge zur geschichte der deutschen sprache und literatur,3,
Beiträge zur geschichte der sprachwissenschaft,1,
Beiträge zur Namenforschung,1,
Beiträge zur germanistischen sprachwissenschaft,1,
Belfagor,1,
Belgeo,1,
Belgian journal of linguistics,1,
Belgian journal of zoology,1,
Belgisch tijdschrift voor nieuwste geschiedenis,1,
Bell system technical journal,2,
Belleten,1,
Belphegor: popular literature and media culture,1,
Ben Jonson journal,1,"Ben Jonson journal: literary contexts in the age of Elizabeth, James, and Charles"
Benchmarking,1,
Benedictina: rivista di studi benedettini,1,
B-ent,1,
Berber studies,1,
Berichte der römisch-germanischen kommission,2,
Berichte zur wissenschaftsgeschichte,1,
"Berkeley journal of gender, law and justice",1,
Berkeley technology law journal,1,
Berliner beiträge zur skandinavistik,1,
Berliner journal fur soziologie,1,
Berliner theologische zeitschrift,1,
Berliner und munchener tierarztliche wochenschrift,1,
Bernoulli,2,
Berytus archaeological studies,1,
Best practice and research clinical endocrinology and metabolism,1,
Best practice and research clinical haematology,1,
Best practice and research clinical obstetrics and gynaecology,1,
Best practice and research in clinical gastroenterology,1,
Best practice and research in clinical rheumatology,1,
Bestuurskunde,1,
Beszédkutatás,1,
Beton- und stahlbetonbau,1,
Bibel und kirche,1,
Biblica,2,
Biblical archaeology review,2,
Biblical interpretation,2,
Biblical research,1,
Biblical theology bulletin,1,
Bibliotheca orientalis,1,
Bibliotheque dhumanisme et renaissance: travaux et documents,1,
Bibliothèque de lécole des chartes,1,
Biblische notizen,2,
Biblische zeitschrift,2,
Bid: textos universitaris de biblioteconomia i documentacio,1,
Bidrag till kännedom av Finlands natur och folk,1,
Bien dire et bien aprandre: revue de medievistique,1,
BMGN : Low countries historical review,1,Bijdragen en mededelingen betreffende de geschiedenis der Nederlanden
Bijdragen tot de geschiedenis: inzonderheid van het aloude hertogdom brabant,1,
"Bijdragen tot de taal-, land- en volkenkunde",2,
Bilig,1,
Bilingual research journal,1,
Bilingualism: language and cognition,3,
Bioacoustics: the international journal of animal sound and its recording,1,
Bioanalysis,1,
Biocatalysis and biotransformation,1,
Biocell,1,
Biochemia medica,1,
Biochemical and biophysical research communications,1,
Biochemical engineering journal,1,
Biochemical genetics,1,
Biochemical journal,2,
Biochemical pharmacology,2,
Biochemical society symposia,1,
Biochemical society transactions,1,
Biochemical systematics and ecology,1,
Biochemistry,1,
Biochemistry and cell biology-biochimie et biologie cellulaire,1,
Biochemistry and molecular biology education,1,
Biochemistry: moscow,1,
Biochimica et biophysica acta: bioenergetics,1,
Biochimica et biophysica acta: biomembranes,1,
Biochimica et biophysica acta: gene regulatory mechanisms,1,
Biochimica et biophysica acta: general subjects,1,
Biochimica et biophysica acta: molecular and cell biology of lipids,1,
Biochimica et biophysica acta: molecular basis of disease,1,
Biochimica et biophysica acta: molecular cell research,1,
Biochimica et biophysica acta: proteins and proteomics,1,
Biochimica et biophysica acta: reviews on cancer,1,
Biochimie,1,
Biochip journal,1,
Bioconjugate chemistry,1,
Biocontrol,1,
Biocontrol science,1,
Biocontrol science and technology,1,
Biocybernetics and biomedical engineering,1,
Biocycle,1,
Biodegradation,1,
Biodemography and social biology,1,
Biodiversity and conservation,2,
Biodrugs,1,
Bioelectrochemistry,1,
Bioelectromagnetics,1,
Bioenergy research,1,
Bioessays,1,
Bioethics,3,
Biofabrication,1,
Biofactors,1,
Biofouling,1,
Biofuels bioproducts and biorefining: biofpr,1,
Biofutur,1,
Biogenic amines,1,
Biogeochemistry,1,
Biogeosciences,2,
Biogeosciences discussions,Other identified publication channels,
Biogerontology,1,
Biography: an interdisciplinary quarterly,3,
Bioinformatics,3,
Bioinorganic chemistry and applications,1,
Bioinspiration and biomimetics,1,
Biointerphases,1,
Biolinguistics,1,
Biologia,1,
Biologia plantarum,1,
Biological and pharmaceutical bulletin,1,
Biological agriculture and horticulture,1,
Biological bulletin,1,
Biological chemistry,1,
Biological conservation,2,
Biological control,1,
Biological cybernetics,1,
Biological invasions,2,
Biological journal of the linnean society,1,
Biological procedures online,1,
Biological psychiatry,3,
Biological psychology,2,
Biological research,1,
Biological research for nursing,1,
Biological reviews,2,
Biological rhythm research,1,
Biological trace element research,1,
Biologicals,1,
Biologiya morya,1,
Biology and philosophy,2,
Biology and environment: proceedings of the royal irish academy,1,
Biology and fertility of soils,2,
Biology bulletin,1,
Biology direct,1,
Biology letters,2,
Biology of reproduction,1,
Biology of sport,1,
Biology of the cell,1,
Biomacromolecules,2,
Biomarkers,1,
Biomarkers in medicine,1,
Biomass and bioenergy,2,
Biomaterials,3,
Biomechanics and modeling in mechanobiology,1,
Biomedica,1,
Biomedical and environmental sciences,1,
Biomedical chromatography,1,
Biomedical engineering,1,
Biomedical engineering online,1,
Biomedical materials,1,
Bio-medical materials and engineering,1,
Biomedical microdevices,1,
Biomedical optics express,1,
Biomedical sciences instrumentation,1,
Biomedical signal processing and control,1,
Biomedicine and pharmacotherapy,2,
Biometals,1,
Biometric technology today,Other identified publication channels,
Biometrical journal,1,
Biometrics,2,
Biometrika,3,
Biomicrofluidics,1,
Biomolecular nmr assignments,1,
Biomolecules and therapeutics,1,
Bioorganic and medicinal chemistry,1,
Bioorganic and medicinal chemistry letters,1,
Bioorganic chemistry,1,
Bioorganicheskaya khimiya,Other identified publication channels,
Biopharm international,1,
Biopharmaceutics and drug disposition,1,
Biophysical chemistry,1,
Biophysical journal,2,
Biophysical reviews and letters,1,
Biophysics,1,
Biopolymers,1,
Biopreservation and biobanking,1,
Bioprocess and biosystems engineering,1,
Bioremediation journal,1,
Bioresource technology,2,
Bioresources,1,
Biorheology,1,
Bioscene,1,
Bioscience,2,
Bioscience biotechnology and biochemistry,1,
Bioscience journal,1,
Bio-science law review,1,
Bioscience reports,1,
Biosecurity and bioterrorism: biodefense strategy practice and science,1,
Biosensors and bioelectronics,3,
Biostatistics,2,
Biosystems,1,
Biota neotropica,1,
Biotechnic and histochemistry,1,
Biotechniques,1,
Biotechnologie agronomie societe et environnement,1,
Biotechnology and biotechnological equipment,1,
Biotechnology and genetic engineering reviews,1,
Biotechnology advances,2,
Biotechnology and applied biochemistry,1,
Biotechnology and bioengineering,2,
Biotechnology and bioprocess engineering,1,
Biotechnology in animal husbandry,1,
Biotechnology journal,1,
Biotechnology law report,1,
Biotechnology letters,1,
Biotechnology progress,1,
Biotherapy: an international journal on biological agents,1,
Biotropica,1,
Bipolar disorders,2,
Bird behavior: an international and interdisciplinary multimedia journal,1,
Bird conservation international,1,
Bird study,1,
Birth defects research part b: developmental and reproductive toxicology,1,
Birth defects research part c: embryo today: reviews,1,
Birth-issues in perinatal care,1,
Bit numerical mathematics,2,
Biuletyn polskiego towarzystwa jezykoznawczego,1,
Bjog: an international journal of obstetrics and gynaecology,2,
BJU international,2,
Black music research journal,2,
Black scholar,1,
Blätter für deutsche und internationale Politik,1,
Blood,3,
Blood cells molecules and diseases,1,
Blood coagulation and fibrinolysis,1,
Blood pressure,1,
Blood pressure monitoring,1,
Blood purification,1,
Blood reviews,1,
Blumea,1,
Blyttia,1,
Bmb reports,1,
BMC anesthesiology,1,
Bmc biochemistry,1,
Bmc bioinformatics,1,
Bmc biology,2,
Bmc biophysics,1,
Bmc biotechnology,1,
Bmc cancer,1,
Bmc cardiovascular disorders,1,
Bmc clinical pathology,1,
Bmc dermatology,1,
Bmc developmental biology,1,
"Bmc ear, nose and throat disorders",1,
Bmc ecology,1,
Bmc emergency medicine,1,
Bmc endocrine disorders,1,
Bmc gastroenterology,1,
Bmc genomics,1,
Bmc geriatrics,2,
Bmc health services research,2,
Bmc immunology,1,
Bmc infectious diseases,1,
Bmc international health and human rights,1,
Bmc medical education,1,
Bmc medical ethics,1,
Bmc medical genetics,1,
Bmc medical genomics,1,
Bmc medical imaging,1,
Bmc medical informatics and decision making,1,
Bmc medical research methodology,1,
Bmc medicine,2,
Bmc microbiology,1,
Bmc molecular biology,1,
Bmc musculoskeletal disorders,1,
Bmc nephrology,1,
Bmc neurology,1,
Bmc neuroscience,1,
Bmc nursing,2,
Bmc ophthalmology,1,
Bmc oral health,1,
Bmc palliative care,1,
Bmc pediatrics,1,
Bmc physiology,1,
Bmc plant biology,1,
Bmc pregnancy and childbirth,1,
Bmc psychiatry,2,
Bmc public health,1,
Bmc pulmonary medicine,1,
Bmc structural biology,1,
Bmc surgery,1,
Bmc systems biology,1,
Bmc urology,1,
Bmc veterinary research,1,
Bmc womens health,1,
BMJ,2,British Medical Journal
Bochumer philosophisches jahrbuch für antike und mittelalter,1,
Bochumer studien zur philosophie,1,
Bodenkultur,1,
Body and society,3,
Body image,2,
Bogens verden: tidskrift for litteratur og kultur,1,
Bohemia: zeitschrift für geschichte und kunst der böhmischen länder,1,
Landbohistorisk tidskrift,1,
Boletim de ciencias geodesicas,1,
Boletim de estudos clássicos,1,
Boletim do centro de pesquisa de processamento de alimentos,1,
Boletim do instituto de pesca,1,
Boletin de la asociacion de geografos espanoles,1,
Boletin de la real academia de la historia,1,
Boletin de la real academia espanola,1,
Boletin de la sociedad botanica de mexico,1,
Boletin de la sociedad espanola de ceramica y vidrio,1,
Boletin de linguistica,1,
Boletín del museo chileno de arte precolombino,1,
Bolgarskaja rusistika,1,
Bolletino dellunione matematica italiana: articoli di ricerca matematica,1,
Bollettino darte,1,
Bollettino dei classici,1,
Bollettino del centro camuno di studi preistorici,1,
Bollettino della badia greca di grottaferrata,1,
Bollettino della societa geologica italiana,1,
Bollettino della societa paleontologica italiana,1,
Bollettino di archeologia,1,
Bollettino di geofisica teorica ed applicata,1,
Bollettino di storia delle scienze matematiche,1,
Bollettino di studi latini,1,
Bone,2,
Bone marrow transplantation,1,
Bonner jahrbücher,1,
Bonner zoologische monographien,1,
Book collector,Other identified publication channels,
Book history,2,
Bookbird: a journal of international childrens literature,1,
Borderlands e-journal: new spaces in the humanities,1,
Boreal environment research,1,
Boreas,2,
Boreas: uppsala studies in ancient mediterranean and near eastern civilizations,1,
Bosque,1,
Boston university law review,1,
Alpine botany,1,
Botanica marina,1,
Botanical journal of the linnean society,1,
Botanical review,1,
Botanical studies,1,
"Plant diversity and evolution: phylogeny, biogeography, structure and function",1,
Botany-botanique,1,
Bothalia,1,
Boundary 2: an international journal of literature and culture,2,
Boundary-layer meteorology,1,
Brachytherapy,1,
Brain,3,
Brain and development,1,
Brain and cognition,2,
Brain and language,2,
Brain behavior and evolution,1,
Brain behavior and immunity,1,
Brain imaging and behavior,1,
Brain impairment,1,
Brain injury,1,
Brain pathology,2,
Brain research,1,
Brain research bulletin,1,
Brain stimulation,3,
Brain structure and function,1,
Brain topography,1,
Brain tumor pathology,1,
Brazilian archives of biology and technology,1,
Brazilian dental journal,1,
Brazilian journal of biology,1,
Brazilian journal of chemical engineering,1,
Brazilian journal of microbiology,1,
Brazilian journal of physics,1,
Brazilian journal of poultry science,1,
Breast,1,
Breast cancer,1,
Breast cancer research,2,
Breast cancer research and treatment,1,
Breast care,1,
Breast journal,1,
Breastfeeding medicine,1,
Brecht yearbook,1,
Breeding science,1,
Brief treatment and crisis intervention,1,
Briefings in bioinformatics,2,
Briefings in entrepreneurial finance,1,
Briefings in functional genomics,1,
Bristol and avon archaeology,1,
Britannia: a journal of romano-british and kindred studies,1,
British accounting review,2,
British actuarial journal,1,
British and american studies,1,
British archaeological reports: british series,1,
British archaeological reports: international series,1,
British dental journal,1,
British educational research journal,3,
British food journal,1,
British journal for the history of philosophy,3,
British journal for the history of science,3,
British journal for the philosophy of science,3,
British journal of aesthetics,3,
British journal of anaesthesia,3,
British journal of biomedical science,Other identified publication channels,
British journal of canadian studies,1,
British journal of cancer,2,
British journal of cardiology,1,
British journal of clinical pharmacology,2,
British journal of clinical psychology,1,
British journal of criminology,3,
British journal of dermatology,3,
"British journal of dermatology, supplement",1,
International journal of developmental disabilities,1,
British journal of developmental psychology,1,
British journal of educational psychology,2,
British journal of educational studies,2,
British journal of educational technology,2,
British journal of general practice,2,
British journal of guidance and counselling,1,
British journal of haematology,2,
British journal of health care management,1,
British journal of health psychology,1,
British journal of hospital medicine,1,
British journal of industrial relations,2,
British journal of learning disabilities,1,
British journal of management,3,
British journal of mathematical and statistical psychology,1,
Psychology and psychotherapy,1,
British journal of middle eastern studies,2,
British journal of music education,2,
British journal of music therapy,1,
British journal of neurosurgery,1,
British journal of nutrition,2,
British journal of occupational therapy,1,
British journal of ophthalmology,3,
British journal of oral and maxillofacial surgery,1,
British journal of pharmacology,3,
British journal of political science,3,
British journal of politics and international relations,1,
British journal of psychiatry,3,
British journal of psychology,1,
British journal of radiology,1,
British journal of religious education,2,
British journal of social psychology,3,
British journal of social work,3,
British journal of sociology,3,
British journal of sociology of education,3,
British journal of special education,1,
British journal of sports medicine,3,
British journal of surgery,3,
British journalism review,1,
British medical bulletin,1,
British politics,1,
British poultry science,1,
British tax review,1,
British year book of international law,1,
Brittonia,1,
Brno studies in english,1,
Bronte studies,1,
Brookings papers on economic activity,1,
Brookings trade forum,1,
Brookings-wharton papers on financial services,1,
Bryn mawr classical review,1,
Bryologist,1,
Buddhist-christian studies,1,
Budkavlen,1,
Buffalo bulletin,1,
Buffalo law review,1,
Building and environment,2,
Building research and information,2,
Building services engineering research and technology,1,
Buildings and landscapes: journal of the vernacular architecture forum,1,
Built environment,1,
Bulgarian chemical communications,Other identified publication channels,
Bulgarian historical review,1,
Bulgarian journal of agricultural science,1,
Bulgarska etnologiia,Other identified publication channels,
Bulgarski ezik,1,
Bulletin darcheologie marocaine,1,
Bulletin de correspondance hellenique,2,
Revue de droit comparé du travail et de la sécurité sociale,1,
Bulletin de l academie nationale de medecine,1,
Bulletin de l academie veterinaire de france,1,
Bulletin de lecole francaise dextreme-orient,1,
Bulletin de l'institut d'egypte,1,
Bulletin de la socie?te? darche?ologie copte,1,
Bulletin de la société dégyptologie de genève,1,
Bulletin de la Societe de Linguistique de Paris,2,
Bulletin de la societe des sciences et des lettres de lodz,1,
Bulletin de la societe francaise degyptologie,1,
Bulletin de la societe geologique de france,1,
Bulletin de la societe historique et archeologique du perigord,1,
Bulletin de la societe internationale des etudes yourcenariennes,1,
Bulletin de la societe mathematique de france,1,
Bulletin de la societe prehistorique francaise,1,
Bulletin de la societe toulousaine detudes classiques,1,
Bulletin de la societe zoologique de france,1,
Bulletin de linstitut francais darcheologie orientale du caire,1,
Bulletin de linstitut francais detudes andines,1,
Bulletin de litterature ecclesiastique,1,
Bulletin de philosophie medievale,1,
Bulletin des sciences mathematiques,1,
Bulletin du cancer,1,
Bulletin for international taxation,1,
Bulletin hispanique,2,
Bulletin mathematique de la societe des sciences mathematiques de roumanie,1,
Bulletin monumental,1,
Bulletin of canadian petroleum geology,1,
Bulletin of earthquake engineering,1,
Bulletin of economic research,1,
Bulletin of electrochemistry,1,
Bulletin of engineering geology and the environment,1,
Bulletin of entomological research,1,
Bulletin of environmental contamination and toxicology,1,
Bulletin of experimental biology and medicine,1,
Bulletin of geosciences,1,
Bulletin of hispanic studies,3,
Bulletin of indonesian economic studies,1,
Bulletin of insectology,1,
Bulletin of latin american research,1,
Bulletin of marine science,1,
Bulletin of materials science,1,
Bulletin of mathematical biology,2,
Bulletin of medieval canon law: new series,1,
"Bulletin of science, technology and society",1,
Bulletin of spanish studies,1,
Bulletin of symbolic logic,3,
Bulletin of the american mathematical society,2,
Bulletin of the american meteorological society,2,
Bulletin of the american museum of natural history,2,
Bulletin of the american schools of oriental research,1,
Bulletin of the american society of papyrologists,1,
Bulletin of the ancient orient museum,1,
Bulletin of the atomic scientists,1,
Bulletin of the australian mathematical society,1,
Bulletin of the belgian mathematical society-simon stevin,1,
Bulletin of the brazilian mathematical society,1,
Bulletin of the british society for the history of mathematics,1,
Bulletin of the center for children`s books,1,
Bulletin of the chemical society of ethiopia,Other identified publication channels,
Bulletin of the chemical society of Japan,Other identified publication channels,
Bulletin of the comediantes,1,
Bulletin of the computational statistics of japan,1,
Bulletin of the council for research in music education,2,
Bulletin of the egyptian museum,1,
Bulletin of the european association of fish pathologists,1,
Bulletin of the geological society of Finland,1,
Bulletin of the geological survey of canada,1,
Bulletin of the history of medicine,2,
Bulletin of the institute of classical studies,1,
Bulletin of the institute of history and philology academia sinica,Other identified publication channels,
Bulletin of the Iranian Mathematical Society,1,
Bulletin of the john rylands university library of manchester,1,
Bulletin of the Korean chemical society,Other identified publication channels,
Bulletin of the korean mathematical society,1,
Bulletin of the lebedev physics institute,1,
Bulletin of the london mathematical society,2,
Bulletin of the malaysian mathematical sciences society,1,
Bulletin of the museum of far eastern antiquities,1,
Bulletin of the peabody museum of natural history,1,
Bulletin of the polish academy of sciences: mathematics,1,
Bulletin of the School of Oriental and African Studies : University of London,1,
Bulletin of the scientific instrument society,1,
Bulletin of the section of logic,1,
Bulletin of the seismological society of america,1,
Bulletin of the torrey botanical club,1,
Bulletin of the veterinary institute in pulawy,1,
Bulletin of the world health organization,3,
Bulletin of volcanology,1,
Bulletin suisse de linguistique appliquee,1,
Bulletins et memoires de la societe danthropologie de paris,Other identified publication channels,
Bullettino della commissione archeologica comunale di roma,1,
Bunseki kagaku,Other identified publication channels,
Bunyan studies,1,
Burlington magazine,3,
Burns,1,
Business and information systems engineering,2,
Business & society,3,Business and society
Business and politics,1,
Business and society review,1,
Business ethics quarterly,2,
Business history,2,
Business history review,3,
Business horizons,1,
Business law review,1,
Business lawyer,1,
Business process management journal,1,
Business strategy and the environment,2,
Business strategy review,1,
BWK,1,
Byron journal,1,
Byzantiaka,1,
Byzantine and modern greek studies,2,
Byzantinische forschungen,1,
Byzantinische zeitschrift,2,
Byzantinoslavica,1,
Byzantion: revue internationale des etudes byzantines,3,
C theory,1,
Ca: a cancer journal for clinicians,2,
"Cab reviews: perspectives in agriculture, veterinary science, nutrition and natural resources",1,
Digital tv europe,1,
Cadernos de literatura brasileira,1,
Cadernos de saude publica,1,
Cadernos de traducao,1,
Caesaraugusta,1,
Caesarodunum,1,
Cahiers du centre detudes chypriotes,1,
"Cahiers alsaciens darcheologie, dart et dhistoire",1,
Cahiers archaeologiques,1,
Cahiers detudes hispaniques medievales,1,
Cahiers détudes lévinassiennes,1,
Cahiers dextreme-asie,1,
Cahiers dhistoire et de philosophie des sciences,1,
Cahiers de biologie marine,1,
Cahiers de civilisation medievale,1,
Cahiers de droit europeen,2,
Cahiers de geographie de quebec,1,
Cahiers de lassociation internationale des etudes francaises,1,
Cahiers de lexicologie,1,
Cahiers de linguistique asie orientale,2,
Cahiers de linguistique francaise,1,
Cahiers de linguistique theorique et appliquee,1,
Cahiers de nutrition et de dietetique,1,
Cahiers de praxematique,1,
Cahiers de topologie et geometrie differentielle categoriques,1,
Cahiers des ameriques latines,1,
Cahiers des etudes anciennes,1,
Cahiers des religions africaines,1,
Cahiers detudes africaines,1,
Cahiers du centre gustave glotz: revue dhistoire ancienne,1,
Cahiers du cinema,1,
Cahiers du genre,1,
Cahiers du monde russe,2,
Cahiers élisabéthains: a biannual journal of english renaissance studies,1,
Cahiers ferdinand de saussure,1,
Cahiers internationaux de symbolisme,1,
Cahiers Jean Giraudoux,1,
Cahiers naturalistes,1,
Cahiers victoriens et edouardiens,1,
Cahiers voltaire,1,
Calcified tissue international,1,
Calcolo,1,
Calculus of variations and partial differential equations,2,
Calcutta statistical association bulletin,1,
Caldasia,1,
Calidoscopio,1,
California agriculture,1,
California cooperative oceanic fisheries investigations reports,1,
California fish and game,1,
California history,1,
California law review,2,
California management review,2,
California western international law journal,1,
Call center magazine,Other identified publication channels,
Callaloo,1,
Calphad: computer coupling of phase diagrams and thermochemistry,1,
Calvin theological journal,1,
Cambrian medieval celtic studies,1,
Cambridge archaeological journal,3,
Cambridge classical journal,2,
Cambridge journal of economics,1,
Cambridge journal of education,1,
"Cambridge journal of regions, economy and society",2,
Cambridge opera journal,3,
Cambridge quarterly,2,
Cambridge quarterly of healthcare ethics,1,
